ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Triangle, Gyr, 10, 1.00, 0.98, 42, 714, 714, 0, 2, 40, 0.00, 0.05, 0.05
RF-501, Triangle, Gyr, 11, 0.97, 0.70, 35, 721, 720, 1, 21, 14, 0.00, 0.60, 0.38
RF-501, Triangle, Gyr, 12, 0.96, 0.65, 41, 715, 715, 0, 29, 12, 0.00, 0.71, 0.41
RF-501, Triangle, Gyr, 13, 0.99, 0.94, 60, 696, 696, 0, 7, 53, 0.00, 0.12, 0.10
RF-501, Triangle, Gyr, 14, 0.95, 0.61, 48, 708, 707, 1, 37, 11, 0.00, 0.77, 0.44
RF-501, Triangle, Gyr, 15, 0.95, 0.75, 70, 686, 681, 5, 35, 35, 0.01, 0.50, 0.33
RF-501, Turn, Gyr, 1, 0.95, 0.84, 85, 590, 583, 7, 27, 58, 0.01, 0.32, 0.24
RF-501, Turn, Gyr, 2, 0.95, 0.63, 47, 628, 627, 1, 35, 12, 0.00, 0.74, 0.43
RF-501, Turn, Gyr, 3, 0.95, 0.78, 64, 611, 604, 7, 27, 37, 0.01, 0.42, 0.30
RF-501, Turn, Gyr, 4, 0.98, 0.86, 43, 632, 630, 2, 12, 31, 0.00, 0.28, 0.22
RF-501, Turn, Gyr, 5, 0.96, 0.64, 39, 636, 635, 1, 28, 11, 0.00, 0.72, 0.42
RF-501, Turn, Gyr, 6, 0.96, 0.74, 51, 624, 624, 0, 27, 24, 0.00, 0.53, 0.35
RF-501, Turn, Gyr, 7, 0.97, 0.68, 31, 644, 644, 0, 20, 11, 0.00, 0.65, 0.39
RF-501, Turn, Gyr, 8, 0.97, 0.77, 41, 634, 631, 3, 19, 22, 0.00, 0.46, 0.32
RF-501, Turn, Gyr, 9, 0.93, 0.54, 50, 625, 624, 1, 46, 4, 0.00, 0.92, 0.48
RF-501, Turn, Gyr, 10, 0.98, 0.81, 32, 643, 639, 4, 12, 20, 0.01, 0.38, 0.27
RF-501, Turn, Gyr, 11, 0.98, 0.84, 31, 644, 643, 1, 10, 21, 0.00, 0.32, 0.24
RF-501, Turn, Gyr, 12, 0.97, 0.72, 37, 638, 637, 1, 21, 16, 0.00, 0.57, 0.36
RF-501, Turn, Gyr, 13, 0.99, 0.91, 28, 647, 645, 2, 5, 23, 0.00, 0.18, 0.15
RF-501, Turn, Gyr, 14, 0.92, 0.58, 58, 617, 613, 4, 48, 10, 0.01, 0.83, 0.45
RF-501, Turn, Gyr, 15, 1.00, 0.99, 38, 637, 637, 0, 1, 37, 0.00, 0.03, 0.03
RF-501, Square, Gyr, 1, 0.94, 0.64, 63, 753, 753, 0, 45, 18, 0.00, 0.71, 0.42
RF-501, Square, Gyr, 2, 0.97, 0.82, 58, 758, 758, 0, 21, 37, 0.00, 0.36, 0.27
RF-501, Square, Gyr, 3, 0.96, 0.79, 67, 749, 745, 4, 28, 39, 0.01, 0.42, 0.30
RF-501, Square, Gyr, 4, 0.96, 0.54, 39, 777, 777, 0, 36, 3, 0.00, 0.92, 0.48
RF-501, Square, Gyr, 5, 0.96, 0.65, 49, 767, 766, 1, 34, 15, 0.00, 0.69, 0.41
RF-501, Square, Gyr, 6, 0.94, 0.56, 55, 761, 759, 2, 48, 7, 0.00, 0.87, 0.47
RF-501, Square, Gyr, 7, 0.98, 0.80, 48, 768, 767, 1, 19, 29, 0.00, 0.40, 0.28
RF-501, Square, Gyr, 8, 0.96, 0.81, 57, 759, 750, 9, 21, 36, 0.01, 0.37, 0.27
RF-501, Square, Gyr, 9, 0.96, 0.61, 40, 776, 776, 0, 31, 9, 0.00, 0.78, 0.44
RF-501, Square, Gyr, 10, 1.00, 0.95, 42, 774, 774, 0, 4, 38, 0.00, 0.10, 0.09
RF-501, Square, Gyr, 11, 0.96, 0.59, 43, 773, 773, 0, 35, 8, 0.00, 0.81, 0.45
RF-501, Square, Gyr, 12, 0.97, 0.78, 57, 759, 757, 2, 25, 32, 0.00, 0.44, 0.31
RF-501, Square, Gyr, 13, 0.98, 0.89, 64, 752, 750, 2, 14, 50, 0.00, 0.22, 0.18
