ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Updown, RotVec, 7, 0.98, 0.92, 30, 522, 513, 9, 4, 26, 0.02, 0.13, 0.12
RF-501, Updown, RotVec, 8, 0.99, 0.96, 31, 521, 518, 3, 2, 29, 0.01, 0.06, 0.06
RF-501, Updown, RotVec, 9, 0.98, 0.95, 39, 513, 506, 7, 3, 36, 0.01, 0.08, 0.07
RF-501, Updown, RotVec, 10, 0.98, 0.91, 28, 524, 519, 5, 5, 23, 0.01, 0.18, 0.15
RF-501, Updown, RotVec, 11, 0.99, 0.93, 23, 529, 528, 1, 3, 20, 0.00, 0.13, 0.12
RF-501, Updown, RotVec, 12, 1.00, 1.00, 32, 520, 520, 0, 0, 32, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 13, 1.00, 0.98, 28, 524, 523, 1, 1, 27, 0.00, 0.04, 0.03
RF-501, Updown, RotVec, 14, 0.96, 0.90, 56, 496, 486, 10, 10, 46, 0.02, 0.18, 0.15
RF-501, Updown, RotVec, 15, 0.98, 0.95, 47, 505, 496, 9, 4, 43, 0.02, 0.09, 0.08
RF-501, Tilt, RotVec, 1, 0.99, 0.97, 50, 618, 614, 4, 3, 47, 0.01, 0.06, 0.06
RF-501, Tilt, RotVec, 2, 0.99, 0.98, 56, 612, 610, 2, 2, 54, 0.00, 0.04, 0.03
RF-501, Tilt, RotVec, 3, 0.99, 0.96, 55, 613, 613, 0, 4, 51, 0.00, 0.07, 0.07
RF-501, Tilt, RotVec, 4, 0.99, 0.99, 55, 613, 610, 3, 1, 54, 0.00, 0.02, 0.02
RF-501, Tilt, RotVec, 5, 0.99, 0.94, 37, 631, 626, 5, 4, 33, 0.01, 0.11, 0.10
RF-501, Tilt, RotVec, 6, 0.99, 0.94, 45, 623, 618, 5, 5, 40, 0.01, 0.11, 0.10
RF-501, Tilt, RotVec, 7, 1.00, 0.99, 36, 632, 631, 1, 1, 35, 0.00, 0.03, 0.03
RF-501, Tilt, RotVec, 8, 0.98, 0.94, 42, 626, 620, 6, 5, 37, 0.01, 0.12, 0.11
RF-501, Tilt, RotVec, 9, 0.98, 0.94, 46, 622, 613, 9, 5, 41, 0.01, 0.11, 0.10
RF-501, Tilt, RotVec, 10, 0.98, 0.92, 41, 627, 619, 8, 6, 35, 0.01, 0.15, 0.13
RF-501, Tilt, RotVec, 11, 0.99, 0.98, 28, 640, 637, 3, 1, 27, 0.00, 0.04, 0.03
RF-501, Tilt, RotVec, 12, 1.00, 1.00, 41, 627, 626, 1, 0, 41, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 13, 1.00, 1.00, 34, 634, 634, 0, 0, 34, 0.00, 0.00, 0.00
RF-501, Tilt, RotVec, 14, 0.99, 0.97, 55, 613, 611, 2, 3, 52, 0.00, 0.05, 0.05
RF-501, Tilt, RotVec, 15, 0.99, 0.95, 47, 621, 615, 6, 4, 43, 0.01, 0.09, 0.08
RF-501, Triangle, RotVec, 1, 0.98, 0.94, 45, 711, 699, 12, 5, 40, 0.02, 0.11, 0.10
