ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Square, Gyr, 6, 0.95, 0.82, 15, 230, 222, 8, 5, 10, 0.03, 0.33, 0.26
RF-501, Square, Gyr, 7, 0.98, 0.88, 17, 228, 228, 0, 4, 13, 0.00, 0.24, 0.19
RF-501, Square, Gyr, 8, 0.96, 0.93, 20, 225, 218, 7, 2, 18, 0.03, 0.10, 0.09
RF-501, Square, Gyr, 9, 0.96, 0.74, 12, 233, 228, 5, 6, 6, 0.02, 0.50, 0.34
RF-501, Square, Gyr, 10, 1.00, 1.00, 11, 234, 234, 0, 0, 11, 0.00, 0.00, 0.00
RF-501, Square, Gyr, 11, 0.95, 0.72, 15, 230, 225, 5, 8, 7, 0.02, 0.53, 0.35
RF-501, Square, Gyr, 12, 0.91, 0.74, 17, 228, 215, 13, 8, 9, 0.06, 0.47, 0.33
RF-501, Square, Gyr, 13, 0.96, 0.86, 20, 225, 220, 5, 5, 15, 0.02, 0.25, 0.20
RF-501, Square, Gyr, 14, 0.96, 0.87, 13, 232, 224, 8, 3, 10, 0.03, 0.23, 0.19
RF-501, Square, Gyr, 15, 0.96, 0.87, 21, 224, 220, 4, 5, 16, 0.02, 0.24, 0.20
RF-501, Circle, RotVec, 1, 0.96, 0.85, 15, 169, 165, 4, 4, 11, 0.02, 0.27, 0.21
RF-501, Circle, RotVec, 2, 0.96, 0.82, 19, 165, 165, 0, 7, 12, 0.00, 0.37, 0.27
RF-501, Circle, RotVec, 3, 0.95, 0.89, 17, 167, 161, 6, 3, 14, 0.04, 0.18, 0.15
RF-501, Circle, RotVec, 4, 0.98, 0.95, 11, 173, 171, 2, 1, 10, 0.01, 0.09, 0.08
RF-501, Circle, RotVec, 5, 0.97, 0.98, 12, 172, 166, 6, 0, 12, 0.03, 0.00, 0.03
RF-501, Circle, RotVec, 6, 0.99, 0.97, 16, 168, 168, 0, 1, 15, 0.00, 0.06, 0.06
RF-501, Circle, RotVec, 7, 0.98, 0.89, 14, 170, 170, 0, 3, 11, 0.00, 0.21, 0.18
RF-501, Circle, RotVec, 8, 0.98, 0.99, 9, 175, 171, 4, 0, 9, 0.02, 0.00, 0.02
RF-501, Circle, RotVec, 9, 0.98, 0.88, 17, 167, 167, 0, 4, 13, 0.00, 0.24, 0.19
RF-501, Circle, RotVec, 10, 0.99, 1.00, 8, 176, 175, 1, 0, 8, 0.01, 0.00, 0.01
RF-501, Circle, RotVec, 11, 1.00, 1.00, 3, 181, 181, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 12, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 13, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, RotVec, 14, 0.99, 0.97, 16, 168, 167, 1, 1, 15, 0.01, 0.06, 0.06
RF-501, Circle, RotVec, 15, 0.99, 0.99, 11, 173, 171, 2, 0, 11, 0.01, 0.00, 0.01
RF-501, Updown, RotVec, 1, 0.99, 1.00, 14, 152, 151, 1, 0, 14, 0.01, 0.00, 0.01
RF-501, Updown, RotVec, 2, 0.98, 0.96, 15, 151, 148, 3, 1, 14, 0.02, 0.07, 0.06
RF-501, Updown, RotVec, 3, 0.95, 0.82, 15, 151, 148, 3, 5, 10, 0.02, 0.33, 0.25
RF-501, Updown, RotVec, 4, 1.00, 1.00, 8, 158, 158, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 5, 0.98, 0.99, 10, 156, 153, 3, 0, 10, 0.02, 0.00, 0.02
RF-501, Updown, RotVec, 6, 0.99, 0.96, 13, 153, 152, 1, 1, 12, 0.01, 0.08, 0.07
RF-501, Updown, RotVec, 7, 0.97, 0.90, 6, 160, 156, 4, 1, 5, 0.03, 0.17, 0.15
RF-501, Updown, RotVec, 8, 1.00, 1.00, 7, 159, 159, 0, 0, 7, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 9, 0.97, 0.82, 14, 152, 152, 0, 5, 9, 0.00, 0.36, 0.26
RF-501, Updown, RotVec, 10, 0.99, 1.00, 10, 156, 155, 1, 0, 10, 0.01, 0.00, 0.01
RF-501, Updown, RotVec, 11, 0.99, 1.00, 13, 153, 152, 1, 0, 13, 0.01, 0.00, 0.01
RF-501, Updown, RotVec, 12, 1.00, 1.00, 5, 161, 161, 0, 0, 5, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 13, 1.00, 1.00, 2, 164, 164, 0, 0, 2, 0.00, 0.00, 0.00
RF-501, Updown, RotVec, 14, 0.96, 0.83, 15, 151, 149, 2, 5, 10, 0.01, 0.33, 0.25
RF-501, Updown, RotVec, 15, 0.97, 0.91, 19, 147, 145, 2, 3, 16, 0.01, 0.16, 0.14
RF-501, Tilt, RotVec, 1, 0.98, 0.93, 16, 185, 183, 2, 2, 14, 0.01, 0.12, 0.11
