ALGORITHM, GESTURE, # OF SELECTED FEATURES, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Turn, 2, 1, 0.92, 0.78, 35, 168, 166, 2, 15, 20, 0.01, 0.43, 0.30
RF-501, Turn, 2, 2, 0.98, 0.83, 12, 191, 190, 1, 4, 8, 0.01, 0.33, 0.25
RF-501, Turn, 2, 3, 0.92, 0.74, 19, 184, 176, 8, 9, 10, 0.04, 0.47, 0.33
RF-501, Turn, 2, 4, 0.99, 0.96, 15, 188, 186, 2, 1, 14, 0.01, 0.07, 0.06
RF-501, Turn, 2, 5, 0.98, 0.79, 12, 191, 191, 0, 5, 7, 0.00, 0.42, 0.29
RF-501, Turn, 2, 6, 0.93, 0.82, 16, 187, 178, 9, 5, 11, 0.05, 0.31, 0.25
RF-501, Turn, 2, 7, 0.97, 0.77, 9, 194, 192, 2, 4, 5, 0.01, 0.44, 0.31
RF-501, Turn, 2, 8, 0.95, 0.69, 10, 193, 189, 4, 6, 4, 0.02, 0.60, 0.38
RF-501, Turn, 2, 9, 0.95, 0.73, 8, 195, 188, 7, 4, 4, 0.04, 0.50, 0.34
RF-501, Turn, 2, 10, 0.97, 0.78, 7, 196, 193, 3, 3, 4, 0.02, 0.43, 0.30
RF-501, Turn, 2, 11, 0.99, 0.93, 8, 195, 193, 2, 1, 7, 0.01, 0.12, 0.11
RF-501, Turn, 2, 12, 0.95, 0.71, 14, 189, 186, 3, 8, 6, 0.02, 0.57, 0.37
RF-501, Turn, 2, 13, 1.00, 1.00, 5, 198, 198, 0, 0, 5, 0.00, 0.00, 0.00
RF-501, Turn, 2, 14, 0.91, 0.69, 19, 184, 177, 7, 11, 8, 0.04, 0.58, 0.38
RF-501, Turn, 2, 15, 0.95, 0.74, 14, 189, 185, 4, 7, 7, 0.02, 0.50, 0.34
RF-501, Square, 2, 1, 0.93, 0.76, 16, 229, 219, 10, 7, 9, 0.04, 0.44, 0.31
RF-501, Square, 2, 2, 0.94, 0.71, 24, 221, 220, 1, 14, 10, 0.00, 0.58, 0.37
RF-501, Square, 2, 3, 0.94, 0.74, 16, 229, 223, 6, 8, 8, 0.03, 0.50, 0.34
RF-501, Square, 2, 4, 0.97, 0.73, 15, 230, 230, 0, 8, 7, 0.00, 0.53, 0.35
RF-501, Square, 2, 5, 0.94, 0.64, 13, 232, 226, 6, 9, 4, 0.03, 0.69, 0.42
RF-501, Square, 2, 6, 0.96, 0.73, 15, 230, 229, 1, 8, 7, 0.00, 0.53, 0.35
RF-501, Square, 2, 7, 0.95, 0.67, 17, 228, 226, 2, 11, 6, 0.01, 0.65, 0.39
RF-501, Square, 2, 8, 0.93, 0.73, 20, 225, 218, 7, 10, 10, 0.03, 0.50, 0.34
RF-501, Square, 2, 9, 0.93, 0.53, 12, 233, 226, 7, 11, 1, 0.03, 0.92, 0.49
RF-501, Square, 2, 10, 0.97, 0.81, 11, 234, 230, 4, 4, 7, 0.02, 0.36, 0.27
RF-501, Square, 2, 11, 1.00, 1.00, 15, 230, 230, 0, 0, 15, 0.00, 0.00, 0.00
RF-501, Square, 2, 12, 0.96, 0.84, 17, 228, 222, 6, 5, 12, 0.03, 0.29, 0.23
RF-501, Square, 2, 13, 0.92, 0.75, 20, 225, 214, 11, 9, 11, 0.05, 0.45, 0.32
RF-501, Square, 2, 14, 0.94, 0.61, 13, 232, 228, 4, 10, 3, 0.02, 0.77, 0.44
RF-501, Square, 2, 15, 0.91, 0.62, 21, 224, 216, 8, 15, 6, 0.04, 0.71, 0.43
RF-501, Circle, 3, 1, 0.96, 0.77, 15, 169, 169, 0, 7, 8, 0.00, 0.47, 0.32
RF-501, Circle, 3, 2, 0.96, 0.82, 19, 165, 165, 0, 7, 12, 0.00, 0.37, 0.27
RF-501, Circle, 3, 3, 0.97, 0.96, 17, 167, 163, 4, 1, 16, 0.02, 0.06, 0.06
RF-501, Circle, 3, 4, 0.96, 0.64, 11, 173, 173, 0, 8, 3, 0.00, 0.73, 0.42
RF-501, Circle, 3, 5, 0.99, 1.00, 12, 172, 171, 1, 0, 12, 0.01, 0.00, 0.01
RF-501, Circle, 3, 6, 0.97, 0.84, 16, 168, 168, 0, 5, 11, 0.00, 0.31, 0.24
RF-501, Circle, 3, 7, 0.96, 0.75, 14, 170, 170, 0, 7, 7, 0.00, 0.50, 0.33
RF-501, Circle, 3, 8, 0.96, 0.87, 9, 175, 169, 6, 2, 7, 0.03, 0.22, 0.19
RF-501, Circle, 3, 9, 0.95, 0.79, 17, 167, 165, 2, 7, 10, 0.01, 0.41, 0.29
RF-501, Circle, 3, 10, 0.97, 0.69, 8, 176, 176, 0, 5, 3, 0.00, 0.62, 0.38
RF-501, Circle, 3, 11, 1.00, 1.00, 3, 181, 181, 0, 0, 3, 0.00, 0.00, 0.00
RF-501, Circle, 3, 12, 1.00, 1.00, 8, 176, 176, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Circle, 3, 13, 0.99, 0.94, 8, 176, 176, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Circle, 3, 14, 0.99, 0.97, 16, 168, 167, 1, 1, 15, 0.01, 0.06, 0.06
RF-501, Circle, 3, 15, 0.97, 0.82, 11, 173, 172, 1, 4, 7, 0.01, 0.36, 0.27
RF-501, Updown, 3, 1, 0.93, 0.83, 14, 152, 145, 7, 4, 10, 0.05, 0.29, 0.23
RF-501, Updown, 3, 2, 0.94, 0.82, 15, 151, 146, 5, 5, 10, 0.03, 0.33, 0.26
RF-501, Updown, 3, 3, 0.99, 1.00, 15, 151, 150, 1, 0, 15, 0.01, 0.00, 0.01
RF-501, Updown, 3, 4, 1.00, 1.00, 8, 158, 158, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Updown, 3, 5, 0.96, 0.79, 10, 156, 153, 3, 4, 6, 0.02, 0.40, 0.29
RF-501, Updown, 3, 6, 0.97, 0.84, 13, 153, 152, 1, 4, 9, 0.01, 0.31, 0.24
RF-501, Updown, 3, 7, 0.98, 0.83, 6, 160, 158, 2, 2, 4, 0.01, 0.33, 0.25
RF-501, Updown, 3, 8, 0.98, 0.85, 7, 159, 158, 1, 2, 5, 0.01, 0.29, 0.22
RF-501, Updown, 3, 9, 0.98, 0.93, 14, 152, 151, 1, 2, 12, 0.01, 0.14, 0.13
RF-501, Updown, 3, 10, 0.94, 0.59, 10, 156, 154, 2, 8, 2, 0.01, 0.80, 0.45
RF-501, Updown, 3, 11, 1.00, 1.00, 13, 153, 153, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Updown, 3, 12, 0.95, 0.59, 5, 161, 157, 4, 4, 1, 0.02, 0.80, 0.45
RF-501, Updown, 3, 13, 0.98, 0.99, 2, 164, 161, 3, 0, 2, 0.02, 0.00, 0.02
RF-501, Updown, 3, 14, 0.94, 0.76, 15, 151, 148, 3, 7, 8, 0.02, 0.47, 0.32
RF-501, Updown, 3, 15, 0.97, 0.89, 19, 147, 146, 1, 4, 15, 0.01, 0.21, 0.17
RF-501, Tilt, 3, 1, 0.99, 0.94, 16, 185, 185, 0, 2, 14, 0.00, 0.12, 0.11
RF-501, Tilt, 3, 2, 0.99, 0.99, 25, 176, 173, 3, 0, 25, 0.02, 0.00, 0.02
RF-501, Tilt, 3, 3, 0.98, 0.93, 16, 185, 182, 3, 2, 14, 0.02, 0.12, 0.11
RF-501, Tilt, 3, 4, 1.00, 1.00, 18, 183, 183, 0, 0, 18, 0.00, 0.00, 0.00
RF-501, Tilt, 3, 5, 0.98, 0.92, 7, 194, 190, 4, 1, 6, 0.02, 0.14, 0.13
RF-501, Tilt, 3, 6, 0.97, 0.79, 10, 191, 189, 2, 4, 6, 0.01, 0.40, 0.29
RF-501, Tilt, 3, 7, 0.97, 0.75, 12, 189, 189, 0, 6, 6, 0.00, 0.50, 0.33
RF-501, Tilt, 3, 8, 0.97, 0.81, 16, 185, 184, 1, 6, 10, 0.01, 0.38, 0.27
RF-501, Tilt, 3, 9, 0.97, 0.83, 9, 192, 189, 3, 3, 6, 0.02, 0.33, 0.25
RF-501, Tilt, 3, 10, 1.00, 1.00, 8, 193, 192, 1, 0, 8, 0.01, 0.00, 0.01
RF-501, Tilt, 3, 11, 0.98, 0.80, 10, 191, 191, 0, 4, 6, 0.00, 0.40, 0.29
RF-501, Tilt, 3, 12, 0.98, 0.89, 10, 191, 189, 2, 2, 8, 0.01, 0.20, 0.17
RF-501, Tilt, 3, 13, 1.00, 1.00, 10, 191, 191, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Tilt, 3, 14, 0.98, 0.88, 17, 184, 184, 0, 4, 13, 0.00, 0.24, 0.19
RF-501, Tilt, 3, 15, 1.00, 1.00, 17, 184, 184, 0, 0, 17, 0.00, 0.00, 0.00
RF-501, Triangle, 3, 1, 0.96, 0.73, 15, 212, 211, 1, 8, 7, 0.00, 0.53, 0.35
RF-501, Triangle, 3, 2, 1.00, 1.00, 26, 201, 201, 0, 0, 26, 0.00, 0.00, 0.00
RF-501, Triangle, 3, 3, 1.00, 0.97, 16, 211, 211, 0, 1, 15, 0.00, 0.06, 0.06
RF-501, Triangle, 3, 4, 0.96, 0.90, 18, 209, 204, 5, 3, 15, 0.02, 0.17, 0.15
RF-501, Triangle, 3, 5, 0.98, 0.85, 13, 214, 214, 0, 4, 9, 0.00, 0.31, 0.24
RF-501, Triangle, 3, 6, 1.00, 1.00, 13, 214, 214, 0, 0, 13, 0.00, 0.00, 0.00
RF-501, Triangle, 3, 7, 0.98, 0.89, 18, 209, 209, 0, 4, 14, 0.00, 0.22, 0.18
