ALGORITHM, GESTURE, # OF SELECTED SENSORS, PARTICIPANT_NO, ACCURACY, AUC, #ofPositiveInstance, #ofNegativeInstance, TN, FP, FN, TP, FAR, FRR, EER
RF-501, Triangle, RotVecMagField, 8, 0.99, 1.00, 5, 108, 107, 1, 0, 5, 0.01, 0.00, 0.01
RF-501, Triangle, RotVecMagField, 9, 0.96, 0.75, 8, 105, 105, 0, 4, 4, 0.00, 0.50, 0.33
RF-501, Triangle, RotVecMagField, 10, 0.99, 0.93, 7, 106, 106, 0, 1, 6, 0.00, 0.14, 0.13
RF-501, Triangle, RotVecMagField, 11, 1.00, 1.00, 4, 109, 109, 0, 0, 4, 0.00, 0.00, 0.00
RF-501, Triangle, RotVecMagField, 12, 1.00, 1.00, 6, 107, 107, 0, 0, 6, 0.00, 0.00, 0.00
RF-501, Triangle, RotVecMagField, 13, 1.00, 1.00, 8, 105, 105, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Triangle, RotVecMagField, 14, 0.96, 0.85, 7, 106, 104, 2, 2, 5, 0.02, 0.29, 0.23
RF-501, Triangle, RotVecMagField, 15, 0.97, 0.85, 10, 103, 103, 0, 3, 7, 0.00, 0.30, 0.23
RF-501, Turn, RotVecMagField, 1, 1.00, 1.00, 10, 92, 92, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Turn, RotVecMagField, 2, 0.99, 0.94, 8, 94, 94, 0, 1, 7, 0.00, 0.12, 0.11
RF-501, Turn, RotVecMagField, 3, 1.00, 1.00, 11, 91, 91, 0, 0, 11, 0.00, 0.00, 0.00
RF-501, Turn, RotVecMagField, 4, 1.00, 1.00, 8, 94, 94, 0, 0, 8, 0.00, 0.00, 0.00
RF-501, Turn, RotVecMagField, 5, 0.99, 0.88, 4, 98, 98, 0, 1, 3, 0.00, 0.25, 0.20
RF-501, Turn, RotVecMagField, 6, 1.00, 1.00, 10, 92, 92, 0, 0, 10, 0.00, 0.00, 0.00
RF-501, Turn, RotVecMagField, 7, 0.99, 0.83, 3, 99, 99, 0, 1, 2, 0.00, 0.33, 0.25
RF-501, Turn, RotVecMagField, 8, 0.98, 0.88, 8, 94, 94, 0, 2, 6, 0.00, 0.25, 0.20
RF-501, Turn, RotVecMagField, 9, 0.99, 0.93, 7, 95, 95, 0, 1, 6, 0.00, 0.14, 0.13
RF-501, Turn, RotVecMagField, 10, 0.98, 0.75, 4, 98, 98, 0, 2, 2, 0.00, 0.50, 0.33
RF-501, Turn, RotVecMagField, 11, 0.99, 0.92, 6, 96, 96, 0, 1, 5, 0.00, 0.17, 0.14
RF-501, Turn, RotVecMagField, 12, 1.00, 1.00, 3, 99, 99, 0, 0, 3, 0.00, 0.00, 0.00
